H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_1	NA	104882	149542	136865	69632	41478	35282	28531	22875	27144	92087	57320	88636	73256	146038	56119	67699	70736	49055	49020	38801	43862
HER_10	OG0001590	0	0	0	1	3	1	15	8	1	3	6	6	1	4	4	0	4	3	4	2	1
HER_1000	OG0015467	0	1	0	2	1	1	6	0	0	2	3	2	18	7	32	142	274	143	179	146	81
HER_10000	OG0007035	1	3	0	1	2	3	0	2	0	0	1	15	0	1	1	1	1	0	0	3	1
HER_10001	NA	0	0	1	0	0	0	0	0	0	0	0	0	4	4	9	2	5	5	6	3	3
HER_10002	NA	0	0	0	0	0	0	0	0	0	0	0	0	10	19	8	5	13	9	3	2	5
HER_10003	OG0007035	4	0	4	42	8	6	4	8	38	4	5	303	33	266	6	12	22	7	4	4	6
HER_10004	OG0018027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10005	OG0016795	0	0	0	0	0	2	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0
HER_10006	OG0005104	6	10	16	88	86	93	490	279	194	309	556	206	243	300	111	50	131	107	111	142	53
HER_10007	NA	0	0	1	4	3	7	32	16	16	15	24	12	15	16	6	3	4	5	5	10	5
HER_10008	OG0005104	0	1	2	4	6	8	55	26	14	16	38	16	20	18	7	3	7	8	10	12	2
HER_10009	NA	0	0	0	1	0	0	14	4	5	2	7	2	3	2	1	1	1	0	2	3	0
HER_1001	OG0013250	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	1
HER_10011	OG0001456	0	0	0	0	0	0	1	5	1	6	2	1	17	8	16	2	1	0	10	2	0
HER_10012	NA	0	0	0	0	0	0	0	0	0	0	0	0	11	4	1	1	2	0	1	0	0
HER_10013	OG0001456	0	0	0	0	0	0	1	3	0	1	0	0	0	3	1	4	0	0	7	0	0
HER_10014	OG0001456	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
HER_10016	OG0001456	0	0	1	0	0	1	0	3	1	0	2	0	4	5	3	11	5	2	15	4	2
HER_10017	OG0001153	48	56	53	101	64	96	256	154	116	63	128	115	235	206	346	415	558	508	1146	897	479
HER_10019	OG0001311	4	2	0	3	6	188	72	599	9	265	59	5	7	11	326	4	1	22	151	92	0
HER_1002	OG0013251	2	0	0	2	3	2	4	2	9	3	3	0	7	2	3	12	14	10	8	7	1
HER_10020	OG0013030	125	145	203	645	757	636	1091	778	1337	368	524	936	402	478	410	452	544	516	908	698	301
HER_10021	OG0001311	4	0	1	5	11	1	4	0	4	1	3	0	54	120	0	8	11	5	0	0	2
HER_10022	OG0013031	0	0	0	0	0	0	0	16	0	16	0	0	16	0	38	12	0	0	130	94	0
HER_10023	OG0000982	58	87	39	65	87	56	58	13	35	12	19	35	96	99	73	63	64	50	87	46	24
HER_10024	OG0000607	3	3	0	12	12	13	5	13	2	10	5	12	2	4	3	1	2	2	7	6	0
HER_10025	OG0001240	2	10	0	8	10	17	16	22	4	35	23	40	2	7	2	0	2	4	3	4	0
HER_10027	OG0013032	25	36	34	132	107	157	199	165	254	109	135	164	132	160	198	44	100	219	89	89	43
HER_10029	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
HER_1003	OG0010128	10	35	38	452	165	187	233	598	386	210	136	48	538	326	381	268	337	372	250	225	93
HER_10030	OG0002360	0	0	0	1	0	0	0	0	0	0	0	0	2	6	2	1	0	2	4	2	0
HER_10031	OG0005647	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HER_10032	NA	32	62	50	152	193	139	491	262	489	82	221	278	1337	906	668	301	477	264	510	340	118
HER_10035	OG0003082	1	1	0	4	0	3	1	2	3	0	0	3	2	4	2	1	1	1	4	2	2
HER_10036	OG0013033	56	44	47	95	98	42	157	75	85	60	94	98	30	58	27	91	43	56	125	103	85
HER_10037	OG0001865	3	22	10	3	10	0	158	2	60	3	74	15	38	27	13	11	7	2	7	6	19
HER_10038	OG0013034	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_10039	OG0009895	511	916	575	1186	1360	1165	1940	1634	2029	707	1117	1970	2106	1720	955	359	590	540	636	565	212
HER_1004	OG0001203	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1
HER_10040	OG0009896	20	19	18	278	198	177	220	305	423	174	191	303	103	90	43	34	106	104	48	67	25
HER_10041	NA	0	4	0	8	10	1	3	0	1	0	4	3	6	4	3	0	6	6	10	12	3
HER_10043	NA	2	2	2	4	1	2	2	1	0	0	2	4	4	4	2	3	4	3	22	14	7
HER_10044	OG0000133	0	5	12	40	19	26	2	5	1	4	2	12	62	91	58	52	37	68	66	51	20
HER_10045	NA	1	0	4	6	8	6	1	0	1	0	0	2	21	17	11	12	11	22	20	15	18
HER_10047	OG0013035	86	98	134	618	465	497	794	460	476	312	619	309	90	75	46	77	76	107	100	65	40
HER_10048	OG0005109	63	130	100	1392	1710	1915	3075	3152	3070	1114	1631	1070	1039	770	772	432	906	544	619	466	348
HER_10049	OG0005110	400	710	664	1502	1251	814	2312	1739	2105	713	1175	1752	1032	1090	815	412	613	455	933	713	301
HER_1005	OG0000236	0	7	4	6	9	7	3	2	4	1	10	3	3512	4743	966	415	492	293	83	45	36
HER_10050	OG0009897	46	102	75	359	341	350	765	291	440	169	524	353	102	111	89	70	92	67	130	103	58
HER_10051	OG0013036	4548	6450	8596	126181	109814	102825	166510	103607	118885	58509	122359	160510	315875	393081	268856	65423	103002	97251	58039	46431	36483
HER_10052	OG0003083	1	5	6	8	9	10	14	53	22	20	16	10	397	296	540	942	1123	735	1742	1297	789
HER_10054	OG0003083	0	0	0	0	1	0	0	5	3	2	1	1	3	0	10	2	31	16	61	59	19
HER_10057	OG0005111	100	1	4	38	560	5	31	14	17	10	29	35	16	10	4	19	21	24	24	10	27
HER_10058	OG0000127	0	1	0	1	1	3	0	2	1	2	2	2	12	5	17	4	8	3	13	5	3
HER_10059	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HER_1006	OG0000090	21	9	10	26	50	28	37	22	51	12	36	37	24	53	13	8	13	14	12	11	8
HER_10060	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	2	0
HER_10061	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_10062	OG0013037	0	0	2	0	2	1	0	2	1	5	0	1	11	0	3	1	3	0	0	0	1
HER_10066	OG0015390	0	1	0	2	2	3	4	0	0	1	1	0	1	0	5	5	6	7	18	12	6
HER_10067	NA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1
HER_10069	NA	1	1	1	3	2	1	0	0	0	0	0	1	7	1	2	1	2	1	1	1	0
HER_10073	OG0003084	70	171	114	519	537	566	2414	1235	1495	624	1620	789	746	538	450	365	625	424	835	599	266
HER_10074	OG0009898	105	539	308	435	346	1029	665	683	654	206	360	776	445	694	414	161	267	293	438	309	126
HER_10075	OG0016802	20	47	28	82	55	23	50	16	77	5	32	105	10	36	2	87	100	49	182	157	52
HER_10076	OG0013038	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	8	1	2	4	2	15
HER_10077	OG0019683	0	0	0	6	0	2	2	0	0	0	2	2	4	2	1	4	0	14	2	0	0
HER_10081	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
HER_10082	OG0000051	2	0	0	0	1	0	0	0	0	0	0	0	5	2	6	1	0	0	2	2	0
HER_10083	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
HER_10084	OG0000328	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	4	2	6	9	3
HER_10085	NA	2	2	3	2	2	0	1	2	9	4	2	4	454	699	268	147	153	171	146	89	63
HER_10086	NA	4	1	2	1	2	0	1	2	3	3	1	3	220	272	226	208	229	168	246	191	113
HER_10088	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10089	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HER_10091	OG0000328	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	2	4	3	1
HER_10092	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10093	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10094	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10096	OG0000328	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	3	1	4	3	2
HER_10099	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_1010	NA	0	2	0	4	8	7	20	9	17	20	18	6	4	4	4	2	2	5	2	6	0
HER_10100	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10102	OG0000328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	5	3	1
HER_10104	OG0001759	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
HER_10105	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10106	OG0001759	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
HER_10107	OG0000328	0	0	0	0	0	0	0	1	0	0	0	0	9	0	6	59	117	34	121	65	42
HER_10108	OG0014783	0	0	0	0	0	1	0	0	2	1	1	0	1	10	14	76	109	56	244	173	106
HER_10109	OG0014782	0	0	0	3	1	2	3	4	4	3	0	4	0	2	3	45	19	10	41	35	9
HER_1011	NA	2	1	0	1	4	4	4	8	6	10	2	7	0	2	2	0	0	2	2	4	0
HER_10110	OG0005965	63	102	166	616	623	535	1694	1070	1170	419	682	1215	283	463	338	242	400	183	492	362	131
HER_10111	OG0008414	43	2	16	72	59	65	29	6	9	4	23	17	74	62	89	130	199	172	157	136	95
HER_10112	OG0005964	104	149	135	916	823	677	1269	696	1345	394	704	1266	181	316	290	354	399	305	566	422	196
HER_10113	OG0000277	0	0	0	0	0	0	0	0	0	1	0	0	3	6	0	2	3	0	0	0	1
HER_10114	OG0001269	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	1	0	1	0	0
HER_10116	OG0011628	3	8	11	14	11	10	25	54	25	21	11	19	89	47	94	159	215	100	366	225	77
HER_10117	OG0004391	66	195	98	574	432	353	1534	1010	1077	322	784	854	97	247	106	84	54	61	97	82	44
HER_10118	OG0007041	10	18	8	59	66	39	152	111	72	40	101	77	66	75	68	30	37	40	83	62	15
HER_1012	OG0011116	97	135	132	2175	1401	1052	3537	1142	1851	868	3325	931	400	731	427	318	387	342	564	473	223
HER_10123	NA	1	7	0	4	4	5	18	6	4	4	17	14	15	37	7	3	6	10	4	4	1
HER_10124	OG0006199	74	123	91	246	220	288	892	666	637	335	615	608	154	269	109	96	141	104	138	142	70
HER_10125	NA	0	0	1	1	1	2	0	2	2	1	0	1	33	27	29	11	19	32	19	14	8
HER_10126	NA	1	2	2	2	2	3	0	2	2	3	0	2	168	190	145	110	149	164	106	77	62
HER_10127	OG0007041	10	18	8	57	63	39	148	106	69	38	96	75	66	73	65	28	34	38	81	60	14
HER_1013	OG0005209	117	214	103	169	172	118	482	309	334	146	289	363	105	224	150	47	107	98	202	183	56
HER_10133	NA	1	7	0	4	4	5	19	6	4	4	17	14	15	37	7	3	6	10	4	4	1
HER_10134	OG0006199	48	114	61	228	151	254	731	465	495	219	454	440	111	189	77	69	105	91	106	108	49
HER_10135	OG0007042	99	119	222	548	288	327	666	588	510	242	331	495	380	366	396	231	345	155	409	282	169
HER_10136	OG0007043	59	220	118	922	618	526	1232	591	933	216	652	917	586	1321	818	197	401	290	617	414	128
HER_10138	OG0005113	62	178	161	451	241	175	961	173	378	76	432	369	203	276	157	97	157	118	216	147	74
HER_10139	OG0007044	24	94	46	607	718	593	1218	905	1025	440	740	895	770	1317	637	241	761	420	361	204	106
HER_1014	OG0010129	41	44	56	228	210	217	454	276	453	120	238	363	263	218	331	319	469	336	624	440	200
HER_10140	OG0007045	3	22	3	5	7	10	23	15	132	11	19	21	35	46	37	46	44	47	64	45	29
HER_10141	OG0007042	188	103	151	286	348	216	536	394	476	134	260	501	224	359	263	147	172	183	273	211	100
HER_10142	OG0007043	68	194	90	807	607	490	1026	610	852	238	554	834	522	1089	779	185	367	292	594	373	113
HER_10145	OG0005113	50	162	146	364	212	153	859	160	320	64	396	330	180	258	145	86	134	108	184	134	62
HER_10147	OG0007044	56	160	98	1152	1356	1192	2247	1673	1968	764	1262	1663	1481	2520	1284	514	1360	789	675	416	199
HER_10148	OG0007045	2	23	3	11	11	10	23	15	212	8	16	18	2	8	21	26	24	7	66	36	26
HER_1015	OG0010130	31	60	53	459	627	305	1255	574	508	328	757	700	89	144	72	43	34	14	28	20	10
HER_10150	OG0009900	36	106	61	273	243	283	950	1023	1092	502	683	499	111	140	103	56	69	74	134	177	52
HER_10151	OG0007046	42	56	99	339	397	446	1362	964	1107	706	1196	891	1223	1297	987	684	1463	918	1075	834	596
HER_10152	OG0015391	51	92	48	713	456	459	799	367	531	144	469	615	193	237	105	120	216	105	153	130	104
HER_10153	OG0005114	6927	6910	9391	4979	4152	3129	4511	3547	4861	3186	4004	4858	2994	4701	1975	1296	1757	1376	1066	944	665
HER_10154	OG0007047	1035	250	1066	689	457	284	388	301	386	168	290	915	7984	8417	8049	12832	14021	15338	23890	15499	11936
HER_10155	OG0003085	60	20	34	1007	693	897	1635	1309	1143	496	1046	690	333	350	515	196	283	207	377	373	173
HER_10156	OG0001312	23	69	58	608	254	200	567	200	251	118	349	275	2276	3693	2217	1245	1143	956	1255	856	439
HER_10157	OG0001313	34	139	33	567	272	271	491	410	385	219	343	227	42	103	64	17	25	19	52	32	19
HER_10158	NA	1	0	1	8	6	4	14	7	7	2	11	2	0	2	1	0	2	0	1	0	0
HER_1016	OG0021505	0	0	0	0	0	0	1	1	1	1	3	1	6	23	23	11	8	5	13	8	4
HER_10160	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0
HER_10161	OG0000768	26	18	42	11	49	25	4	14	78	7	11	27	121	51	22	5	4	35	6	6	3
HER_10162	OG0003840	0	15	28	165	8	119	80	364	384	126	54	39	39	8	35	26	20	24	62	41	27
HER_10163	OG0004501	0	0	0	0	1	1	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0
HER_10164	OG0000548	0	16	0	0	2	0	0	8	0	1	0	0	5	1	6	8	2	6	7	6	1
HER_10166	NA	0	16	0	0	2	0	0	0	1	0	0	0	4	0	0	5	4	12	0	0	1
HER_10167	OG0005115	161	326	281	1492	1262	1016	5779	3356	3540	1254	2848	2514	639	950	498	155	363	290	430	368	145
HER_10168	OG0007048	0	0	0	2	0	3	2	2	1	4	0	2	4	3	1	3	0	0	1	0	2
HER_1017	OG0010131	0	0	0	10	1	0	19	0	8	0	18	56	0	23	6	0	0	0	23	17	0
HER_10172	OG0007049	4	2	37	17	28	72	10	12	13	8	5	25	5	10	7	34	19	47	6	9	6
HER_10173	OG0005116	477	597	683	1087	1302	796	3112	1530	2385	688	1681	1787	1186	1304	1298	776	1186	838	1855	1248	490
HER_10174	NA	1	8	19	13	9	26	31	30	13	28	33	47	88	67	32	40	9	7	15	8	14
HER_10175	OG0009901	31	57	36	158	161	159	477	280	324	168	344	222	282	246	218	134	180	170	373	265	222
HER_10176	OG0013039	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	2	0
HER_10177	OG0005117	659	606	1221	4178	4440	3484	6651	3865	5013	1063	2853	4275	2301	3998	1836	889	1589	961	1461	1183	606
HER_10178	OG0003842	19	18	34	271	326	301	320	281	265	163	178	260	124	141	123	149	146	130	159	132	79
HER_10179	OG0007050	122	252	229	604	503	369	710	719	764	260	444	1039	395	732	497	321	487	378	481	370	272
HER_1018	OG0013252	0	0	0	0	2	3	1	1	0	1	2	1	2	3	4	0	0	1	2	1	0
HER_10180	OG0009904	6	109	2	24	48	7	42	8	53	16	40	4	212	312	161	67	41	83	102	60	35
HER_10181	OG0005118	1764	2670	3152	2806	3664	2298	7375	9654	7016	3680	4473	7502	18874	15027	18040	16795	22630	15580	36371	21677	12824
HER_10182	OG0007052	20	22	32	27	38	26	154	78	58	46	87	74	750	291	1041	348	554	354	600	389	200
HER_10183	OG0009903	16003	26455	19948	13530	11804	9682	12666	9128	12720	8714	11948	19040	24296	25848	18729	18146	23868	18668	29062	18949	14615
HER_10184	OG0003844	17	34	19	138	153	142	747	407	649	165	339	312	58	134	93	48	62	29	64	83	29
HER_10185	OG0016799	21	53	56	182	204	247	421	160	178	73	313	397	1082	738	944	1159	875	764	1120	884	432
HER_10186	OG0021435	0	0	0	2	2	0	0	0	5	0	0	7	17	20	21	11	24	23	13	8	10
HER_10187	OG0015388	5	0	7	3	6	5	10	0	13	1	5	21	25	68	25	48	77	67	51	27	39
HER_10189	NA	0	0	0	1	0	1	2	0	1	0	2	1	2	2	4	0	2	0	3	1	1
HER_10190	OG0000444	44	49	80	292	425	380	601	392	353	319	443	950	107	234	84	55	34	32	75	67	34
HER_10191	OG0015386	83	206	237	493	648	603	1574	1019	1154	285	687	904	107	290	164	112	179	146	256	187	102
HER_10192	OG0013029	144	173	197	1173	948	776	2141	1225	1048	664	1479	1156	1700	2260	2380	1283	2602	1500	1874	1518	797
HER_10193	OG0007039	208	295	208	772	736	648	1902	916	798	580	1411	1158	2504	2078	2130	1284	2237	1574	2147	1544	737
HER_10197	NA	4	7	3	20	12	11	46	21	21	6	25	28	64	47	47	19	63	44	58	41	15
HER_10198	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_1020	OG0010132	2	2	4	8	15	10	32	16	10	4	14	2	14	3	0	26	14	18	44	29	46
HER_10200	OG0000732	28	18	64	122	92	59	138	120	112	29	58	84	127	124	111	66	79	94	138	114	47
HER_10201	OG0019111	28	116	50	126	146	151	754	380	386	188	344	252	45	96	62	24	28	20	44	36	11
HER_10205	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10206	OG0002165	44	177	138	408	443	431	1538	463	708	228	829	1115	410	569	406	286	422	350	799	668	192
HER_10207	OG0013155	179	263	272	1733	1937	996	1222	965	1363	429	750	1165	1186	783	995	1274	1451	992	1308	1008	588
HER_10208	OG0013156	45	34	70	483	308	513	925	418	581	147	506	674	364	472	321	131	321	223	290	226	130
HER_10209	OG0001659	8	32	28	35	15	2	2	470	11	186	2	4	26	2	116	0	3	0	20	20	3
HER_1021	OG0010133	220	294	354	312	386	291	881	311	596	187	536	358	139	196	101	102	82	58	76	74	50
HER_10210	OG0016836	0	1	6	29	20	0	1	72	64	28	1	48	25	31	24	14	2	0	7	1	0
HER_10211	OG0001659	2	7	18	41	32	0	0	61	59	19	0	44	18	24	21	23	1	1	1	1	0
HER_10212	NA	0	0	0	4	0	29	0	0	1	0	0	6	6	5	1	1	0	0	0	0	1
HER_10213	OG0007144	133	275	241	826	848	658	2251	1295	1946	493	1193	2027	825	1306	658	237	403	393	652	579	170
HER_10214	OG0003097	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HER_10217	NA	2	0	0	12	10	1	46	13	3	8	22	1	13	5	8	5	3	6	11	15	3
HER_10218	OG0001144	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
HER_1022	OG0010134	601	511	671	1510	1204	734	1679	1067	1090	380	1091	1600	2819	2731	1923	1029	1809	1624	1935	1562	836
HER_10220	NA	1	17	17	3	3	3	3	10	4	8	2	11	68	36	88	12	8	18	79	91	9
HER_10221	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HER_10223	OG0013157	0	0	3	1	2	0	0	5	1	10	6	3	39	5	24	5	10	16	31	12	6
HER_10224	OG0016837	0	0	0	24	4	4	12	4	4	4	14	8	8	0	4	8	4	4	12	8	8
HER_10225	OG0016838	1	0	0	1	1	1	4	0	3	1	1	1	15	13	4	8	18	12	62	25	13
HER_10226	OG0001316	0	3	0	11	5	16	9	8	11	0	5	1	4	1	0	6	1	0	7	5	4
HER_10227	OG0001316	0	0	0	10	0	2	0	2	0	0	0	0	4	1	2	1	0	0	5	1	4
HER_10228	OG0001316	0	2	0	26	2	5	0	0	0	0	1	1	6	2	2	3	8	6	5	1	2
HER_10229	OG0007145	152	168	1143	623	689	910	2411	1600	1633	932	1597	1486	413	782	401	230	341	224	240	179	104
HER_1023	OG0010136	103	127	142	229	238	321	676	513	582	206	397	490	83	168	108	68	64	65	124	102	46
HER_10230	OG0000035	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0
HER_10231	NA	0	0	0	2	0	3	11	0	2	0	3	0	0	0	0	2	1	0	1	1	0
HER_10232	NA	0	0	0	2	1	2	6	0	2	0	4	0	5	1	4	7	5	4	9	5	3
HER_10233	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10234	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10235	NA	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10236	OG0015431	0	0	0	0	0	0	1	0	0	0	0	0	5	2	0	2	2	0	1	0	2
HER_10237	OG0015431	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0	2	0
HER_10238	OG0015431	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0
HER_1024	OG0000090	16	9	10	25	44	25	34	20	48	12	36	32	24	50	13	8	12	12	12	11	8
HER_10241	OG0015431	0	1	0	3	2	0	1	1	1	0	0	4	2	0	0	1	0	0	1	0	0
HER_10242	OG0013158	114	539	426	489	483	461	1834	981	799	648	1428	738	305	397	248	240	206	458	288	208	112
HER_10245	NA	0	0	0	0	0	0	0	1	0	0	0	0	7	2	4	0	1	1	2	0	2
HER_10246	NA	0	0	0	0	0	0	0	0	1	0	0	0	1	1	5	1	1	0	1	1	2
HER_10250	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
HER_10252	NA	0	0	0	0	1	0	5	0	1	0	4	2	4	2	2	1	1	1	2	2	1
HER_10253	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10254	NA	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HER_10255	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10256	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HER_1026	NA	0	1	0	6	2	4	10	4	8	8	10	2	2	4	2	2	3	2	4	2	0
HER_10260	OG0005169	1188	1288	1326	1771	1468	1242	1898	1412	1830	636	1106	1803	3968	3348	3380	5560	5636	4890	10084	7267	4661
HER_10261	OG0011105	107	145	279	929	946	770	1777	1137	1512	357	1025	1072	536	739	378	353	444	311	393	299	182
HER_10262	OG0005304	98	238	177	442	755	678	1192	1496	714	518	736	965	1095	1366	1075	795	891	697	1173	896	310
HER_10263	OG0010293	882	1698	1074	592	650	545	510	552	597	489	508	932	188	395	179	246	174	69	228	138	130
HER_10265	OG0010655	278	566	339	1750	1246	1666	4238	2674	2639	2307	3334	2274	1516	1663	1232	444	1186	791	872	773	299
HER_10266	OG0018185	18	51	36	154	122	122	511	291	358	72	224	220	53	87	39	28	36	38	68	62	28
HER_10267	OG0010036	10	48	29	146	144	154	492	278	357	155	302	290	37	66	38	19	36	40	79	51	17
HER_10268	OG0010036	12	55	35	164	164	193	575	274	401	160	357	352	46	80	42	21	45	48	80	56	20
HER_10269	OG0007147	117	228	170	1667	2101	1328	3044	1556	2738	556	1720	1998	2632	2299	1185	1322	1486	1276	1629	1287	691
HER_1027	OG0011116	30	50	46	1080	607	477	1682	569	834	268	1275	369	182	312	185	106	153	138	255	187	99
HER_10270	NA	0	1	0	4	2	1	4	3	1	0	2	2	5	2	5	1	2	1	4	4	3
HER_10271	OG0001073	0	0	1	2	2	1	20	1	4	0	4	4	11	8	10	9	9	8	4	1	2
HER_10274	OG0001073	20	2	4	10	20	5	22	9	6	4	24	105	44	88	16	27	14	44	11	9	6
HER_10275	OG0001076	0	1	2	0	0	0	7	0	0	0	4	1	5	4	0	0	0	1	0	0	0
HER_10276	OG0001073	131	46	135	742	175	96	90	148	298	123	89	202	30	50	45	49	44	42	64	48	18
HER_10277	OG0001073	101	31	90	532	128	71	64	103	225	89	61	155	21	36	29	29	32	24	44	35	11
HER_10278	OG0010037	3	0	1	6	6	2	0	0	3	1	1	4	3	23	5	9	2	1	1	8	7
HER_10279	OG0013159	136	248	206	478	558	476	2050	1018	1320	420	1222	1120	426	660	284	244	344	294	639	514	152
HER_1028	NA	115	212	113	178	174	124	523	340	337	166	320	392	113	256	160	55	103	101	206	194	58
HER_10280	OG0010038	149	288	232	763	774	783	2240	2138	1778	1778	1938	1645	632	894	526	228	476	350	423	439	144
HER_10281	OG0013160	16	92	67	118	90	18	129	244	353	81	44	23	179	212	148	127	135	122	184	128	99
HER_10282	NA	4	3	0	20	3	0	32	0	13	1	28	14	0	30	1	1	0	0	0	0	0
HER_10283	OG0013161	497	1298	613	984	1170	904	1822	1240	1557	866	1473	1400	572	836	556	533	382	361	677	607	283
HER_10285	OG0010228	152	264	156	706	981	655	1218	194	461	124	926	891	898	1554	730	547	1070	781	542	525	490
HER_10286	NA	14	36	16	199	145	188	511	277	229	105	311	280	72	119	102	58	103	83	81	75	54
HER_10288	NA	0	1	2	12	4	11	23	25	15	12	19	11	12	13	10	6	2	3	7	8	2
HER_1029	NA	18	101	31	40	32	22	79	60	24	64	64	74	20	57	50	16	35	28	73	61	24
HER_10290	OG0001868	19	71	33	262	242	275	572	416	296	223	346	337	800	718	535	431	800	609	1035	988	404
HER_10291	NA	38	49	35	377	316	198	719	427	509	215	476	426	194	243	126	155	192	66	232	167	170
HER_10292	OG0013058	154	237	196	438	544	506	2306	1781	1721	448	1017	1156	224	672	217	76	133	78	175	122	50
HER_10293	NA	80	199	94	522	433	434	1281	995	944	593	860	668	207	343	269	136	220	299	329	251	82
HER_10294	OG0013057	1632	1700	1801	1025	969	681	1440	988	1150	540	859	1109	4232	3850	3369	1718	2082	1627	3240	2640	1072
HER_10295	NA	115	152	131	595	477	440	697	543	509	247	413	425	61	404	234	78	64	50	170	86	32
HER_10298	OG0005122	25	72	55	97	107	37	2	292	146	134	1	189	28	54	33	13	9	16	78	63	36
HER_10299	OG0009921	19	76	39	307	243	287	788	774	518	240	384	269	460	382	386	208	344	387	404	298	141
HER_103	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
HER_1030	OG0010129	71	73	84	399	377	354	816	470	736	225	432	598	467	374	592	634	780	550	1001	773	361
HER_10301	OG0007062	588	208	264	2158	1595	779	2414	1554	1784	615	1572	1828	2462	2833	1953	2268	2539	1972	3511	2538	1490
HER_10302	NA	4	57	0	4	10	13	9	10	2	17	10	6	299	948	761	54	43	18	116	78	10
HER_10303	NA	58	208	47	60	87	45	96	246	104	144	60	98	298	267	156	30	39	33	75	47	15
